"";"input_id";"dependence";"dependence_value";"question";"subframework";"property";"category";"pages";"minimal_detailed";"bestpractices";"notes";"keywords";"options";"input_type";"required"
"21";"G02";NA;NA;"Does the resource clearly state its target audience?";"essential";"Audience";"Targets";"1. Content & Structure";"minimal";"Following the ""Target Group (Audience)"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include the primary user(s) for whom the resource is intended. Describe who the material is intended for, such as researchers or students.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"22";"G03";NA;NA;"Does the resource specify the expertise level required from its audience?";"essential";"Expertise level";"Targets";"1. Content & Structure";"minimal";"Following the ""Expertise (skill) level"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include the target skill level in the topic being taught. Example values: beginner, intermediate, and advanced.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"23";"G11";NA;NA;"Does the resource include its goal?";"essential";"Goal";"Targets";"1. Content & Structure";"minimal";"Following the ""Abstract/Description"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include the main aim of the whole learning object. It represents the broad aspirations of the resource and it is a good opportunity to introduce the relevance of the material.";"""Goals"" represent the broad aspirations that trainers have for their learners: This information should be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"24";"M01";"G11";"Yes";"Is the goal/description of the resource in line with the essential skills and/or main activities listed in the <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a> for the stated target audience?";"mvs";"Goal";"Targets";"1. Content & Structure";"minimal";"The target audience stated should be consistent with the correspondent role/s in this list. The MVS is meant to be used by anyone involved in developing the skills of whichever role is described by that MVS (e.g. including people who are in the same role, and want to plan their own training needs).";NA;NA;"Yes;No";"mc";FALSE
"25";"G10";NA;NA;"Are the learning objectives* and outcomes* specific, well-defined, and measurable?";"essential";"Objectives and outcomes";"Targets";"1. Content & Structure";"minimal";"Following the ""Learning Outcome"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include learning objectives/outcomes. What will learners gain from this training? What skills will they demonstrate? These questions can guide you in writing the learning outcomes for your resource. Using phrases such as ""By the end of this training, participants will be able to..."" can also be helpful. Moreover, you can choose the right action words from the SMART (Specific, Measurable, Achievable, Realistic/Relevant, Time-Based) approach to make your objectives clear and achievable. Have a look at the Skills4EOSC <a href=""https://fair-by-design-methodology.github.io/FAIR-by-Design_ToT/latest/Stage%201%20%E2%80%93%20Prepare/02-Preparing%20FAIR%20Learning%20Objects/02-Preparing%20FAIR%20Learning%20Objects_cont/#defining-learning-objectives"" target=""_blank"">FAIR-by-design methodology</a>.";"""Learning objectives"" are the specific steps trainers take to help learners achieve these goals. ""Learning outcomes"" are the actual knowledge, skills, or abilities that learners should be able to demonstrate at the end of their training. This information should be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"26";"M02";"G10";"Yes";"Are the learning objectives and outcomes of the resource relevant to any of the essential skills or Open Science skills terms of the <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a> for the stated target audience?";"mvs";"Objectives and outcomes";"Targets";"1. Content & Structure";"minimal";"Check the sections ""Essential Skills & Competences"" and “Open Science Skills Terms” from the respective MVS profile of your target audience.";NA;NA;"Yes;No";"mc";FALSE
"27";"G13";NA;NA;"Does the resource clearly describe its program/outline?";"essential";"Program";"Design";"1. Content & Structure";"detailed";"The learning materials should include an agenda for the course (in the abstract/description or as a separate item). This helps the learner know in advance what topics will be covered and what the focus will be. In addition, this information is helpful for a  trainer who is reusing the material to understand the progression of the training.";NA;NA;"Yes;No";"mc";FALSE
"28";"F14";NA;NA;"Is every logical unit of the learning resource  defined around a minimum of one learning objective?";"fair";"Logical unit";"Design";"1. Content & Structure";"detailed";"Breaking down a complex learning resource into logical units helps improve its reusability. Defining learning objectives on the level of a unit helps trainers understand the importance of each unit.";NA;"Reusable";"Yes;No";"mc";FALSE
"29";"G19";NA;NA;"Does the resource address different learning styles that lead to greater learner engagement without relying too heavily on one learning style, such as reading/writing?";"essential";"Learning style";"Design";"1. Content & Structure";"detailed";"Consider whether the material is simple, such as text or images, or more complex. The way learners will use the material may limit the types of tools and formats that can be used. When it comes to how people learn and use technology, we follow the <a href=""https://udlguidelines.cast.org/"" target=""_blank"">Universal Design for Learning (UDL) Guidelines</a>, which state that we should use technology that helps people learn actively. This means using tools that allow learners to interact with the material and communicate with each other and with trainers. For example, trainers can consider using tools such as collaborative document editors for group work and presentations. They can also use discussion boards to help learners communicate and share ideas, or interactive video software to collaborate on projects.";NA;NA;"Yes;No";"mc";FALSE
"30";"G20";NA;NA;"Does the resource explain the tools/software/infrastructure required to participate in the training and to submit assignments?";"essential";"Technology";"Technical & accessibility aspects";"2. Implementation";"detailed";"If the learning materials require special tools or software, it's a good idea to tell learners about them. And if there are special ways they should submit assignments, it's a good idea to give them clear instructions about that as well. This will make the whole learning experience better and easier for everyone.";"This indicator is about technical requirements, not required skills of the learners. If there are no requirements, please state this explicitly. This information should be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
